Success,Hop-number,Starting distance,Travel sum,Min used energy,Max used energy,Sum used energy,Optimal sum energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10
1,2,0.4202910085,0.5123324034,12.10830902,36.32788356,48.43619259,48.828125,198249.3614,198382.535,198576.4803,198249.3614,198370.4267,198479.4363,198418.8652,198370.4267,198430.9823,200000
1,1,0.060130074,0.060130074,12.10830902,12.10830902,12.10830902,12.20703125,198249.3614,198370.4267,198576.4803,198249.3614,198370.4267,198479.4363,198418.8652,198370.4267,198430.9823,200000
1,2,0.4202910085,0.4232085871,24.21513998,24.21513998,48.43027997,48.828125,198249.3614,198346.2116,198576.4803,198249.3614,198370.4267,198479.4363,198418.8652,198346.2116,198430.9823,200000
1,2,0.4769069878,0.4774369521,24.2003615,205.8213049,230.0216664,48.828125,198249.3614,198346.2116,198576.4803,198225.161,198370.4267,198479.4363,198418.8652,198346.2116,198225.161,200000
1,2,1.191961616,1.216920685,72.70382405,181.7133511,254.4171751,292.96875,198249.3614,198346.2116,198576.4803,198225.161,198297.7229,198297.7229,198418.8652,198346.2116,198225.161,200000
1,2,0.4769069878,0.4774369521,24.19740735,24.19740735,48.3948147,48.828125,198249.3614,198346.2116,198576.4803,198200.9636,198297.7229,198297.7229,198418.8652,198346.2116,198200.9636,200000
1,1,0.060130074,0.060130074,12.10609202,12.10609202,12.10609202,12.20703125,198249.3614,198334.1055,198576.4803,198200.9636,198297.7229,198297.7229,198418.8652,198346.2116,198200.9636,200000
1,2,0.4769069878,0.4774369521,24.19445357,24.19445357,48.38890713,48.828125,198249.3614,198334.1055,198576.4803,198176.7692,198297.7229,198297.7229,198418.8652,198346.2116,198176.7692,200000
1,2,0.4769069878,0.4774369521,24.19150014,24.19150014,48.38300028,48.828125,198249.3614,198334.1055,198576.4803,198152.5777,198297.7229,198297.7229,198418.8652,198346.2116,198152.5777,200000
1,2,0.815818586,1.036719497,96.80144599,145.1629743,241.9644203,122.0703125,198152.5599,198334.1055,198576.4803,198152.5777,198152.5599,198297.7229,198418.8652,198346.2116,198152.5777,200000
